study_id,condition,stimulus_text,source,study_context,flags
Melin1066,“Military/Automotive”,"Please imagine you work for a prominent automotive manufacturing company. You will be provided with a job description and an applicant’s résumé who is applying for a Senior Technical Project Manager position. After thoroughly reviewing the job description and the applicant’s résumé, please continue on to the next screen to evaluate the applicant by providing your immediate and uncensored opinion. 

Please take the time you need to <u>carefully<u> review the next two screens. We will be asking you questions about this position and applicant after reading.

Job description for your review:

Position: Senior Technical Project Manager 

A Sr. Technical Project Managerwill be responsible for: 
- Leading high performance project teams across the organization
- Building professional relationships with key stakeholders
- Defining project objectives, roadmaps, and deliverables 
- Aligning project tactics with project strategy for all new services
[SPACE]
The successful applicant will be hard-working, results-oriented, and a team player.
[SPACE]
<u>Required Qualifications: <u>
• Bachelor’s degree in Business Administration or a related field 
• 3-5 years of related experience
• Comfort with travel regionally or globally (up to 30% of time)
• Self-motivated with potential for leadership
• Excellent communication skills
• Solid computer skills, including Microsoft software products 

Applicant’s résumé for your review:
Amy Decker 10 Byron Drive, Apt. #10 Wrightstown, NJ 08562 amy.decker@gmail.com 609-724-6548

Overview
Motivated Project Manager with 5 years of experience working in military and defense.

Education
Rutgers University (New Brunswick, NJ) May 2017 (Graduated)
Completed part-time
B.A. in Business Administration
GPA: 3.72/4.00

Work Experience
U.S. Army Project Manager (Active-duty Enlisted) 2014 - Present
Fort Dix Military Base (Fort Dix, NJ)
• Plan and track progress of entire life-cycle of military and defense projects.
• Build and maintain project plans, including actual and forecasted activities and timelines. 
• Ensure project staffing and timely communications throughout project lifecycle. 
• Identify and manage project risks.

Volunteer Experience

Volunteer 2016 - Present
Community FoodBank of New Jersey (Hillside, NJ)
• Serve as a community volunteer for 4-6 hours per month.

Skills and Interests
• Computer: Proficient in Microsoft Office (including Word, Excel, Outlook, and PowerPoint). 
• Interests: Running and traveling.",llm_prompts,This task is part of a larger study on the design of Human Resources (HR) recruiting practices to pre-screen job applicants.,"html_tags,layout_placeholder"
Melin1066,“Military/Consulting”,"Please imagine you work for a prominent management consulting company. You will be provided with a job description and an applicant’s résumé who is applying for a Senior Manager position. After thoroughly reviewing the job description and the applicant’s résumé, please continue on to the next screen to evaluate the applicant by providing your immediate and uncensored opinion. 

Please take the time you need to <u>carefully<u> review the next two screens. We will be asking you questions about this position and applicant after reading.

Job description for your review:

Position: Senior Manager (Consulting) 

A Sr. Manager will be responsible for: 
- Leading high performance project teams across the organization
- Building professional relationships with key stakeholders
- Defining project objectives, roadmaps, and deliverables 
- Aligning project tactics with project strategy for all new services
[SPACE]
The successful applicant will be hard-working, results-oriented, and a team player.
[SPACE]
<u>Required Qualifications: <u>
• Bachelor’s degree in Business Administration or a related field 
• 3-5 years of related experience
• Comfort with travel regionally or globally (up to 30% of time)
• Self-motivated with potential for leadership
• Excellent communication skills
• Solid computer skills, including Microsoft software products 

Applicant’s résumé for your review:
Amy Decker 10 Byron Drive, Apt. #10 Wrightstown, NJ 08562 amy.decker@gmail.com 609-724-6548

Overview
Motivated Project Manager with 5 years of experience working in military and defense.

Education
Rutgers University (New Brunswick, NJ) May 2017 (Graduated)
Completed part-time
B.A. in Business Administration
GPA: 3.72/4.00

Work Experience
U.S. Army Project Manager (Active-duty Enlisted) 2014 - Present
Fort Dix Military Base (Fort Dix, NJ)
• Plan and track progress of entire life-cycle of military and defense projects.
• Build and maintain project plans, including actual and forecasted activities and timelines. 
• Ensure project staffing and timely communications throughout project lifecycle. 
• Identify and manage project risks.

Volunteer Experience

Volunteer 2016 - Present
Community FoodBank of New Jersey (Hillside, NJ)
• Serve as a community volunteer for 4-6 hours per month.

Skills and Interests
• Computer: Proficient in Microsoft Office (including Word, Excel, Outlook, and PowerPoint). 
• Interests: Running and traveling.",llm_prompts,This task is part of a larger study on the design of Human Resources (HR) recruiting practices to pre-screen job applicants.,"html_tags,layout_placeholder"
Melin1066,“Military/Wedding”,"Please imagine you work for a prominent wedding and social events planning company. You will be provided with a job description and an applicant’s résumé who is applying for Senior Event Planning Manager position. After thoroughly reviewing the job description and the applicant’s résumé, please continue on to the next screen to evaluate the applicant by providing your immediate and uncensored opinion. 

Please take the time you need to <u>carefully<u> review the next two screens. We will be asking you questions about this position and applicant after reading.

Job description for your review:

Position:Senior Event Planning Manager (Wedding and Social Events) 

A Sr. Event Planning Manager will be responsible for: 
- Leading high performance project teams across the organization
- Building professional relationships with key stakeholders
- Defining project objectives, roadmaps, and deliverables 
- Aligning project tactics with project strategy for all new services
[SPACE]
The successful applicant will be hard-working, results-oriented, and a team player.
[SPACE]
<u>Required Qualifications: <u>
• Bachelor’s degree in Business Administration or a related field 
• 3-5 years of related experience
• Comfort with travel regionally or globally (up to 30% of time)
• Self-motivated with potential for leadership
• Excellent communication skills
• Solid computer skills, including Microsoft software products 

Applicant’s résumé for your review:
Amy Decker 10 Byron Drive, Apt. #10 Wrightstown, NJ 08562 amy.decker@gmail.com 609-724-6548

Overview
Motivated Project Manager with 5 years of experience working in military and defense.

Education
Rutgers University (New Brunswick, NJ) May 2017 (Graduated)
Completed part-time
B.A. in Business Administration
GPA: 3.72/4.00

Work Experience
U.S. Army Project Manager (Active-duty Enlisted) 2014 - Present
Fort Dix Military Base (Fort Dix, NJ)
• Plan and track progress of entire life-cycle of military and defense projects.
• Build and maintain project plans, including actual and forecasted activities and timelines. 
• Ensure project staffing and timely communications throughout project lifecycle. 
• Identify and manage project risks.

Volunteer Experience

Volunteer 2016 - Present
Community FoodBank of New Jersey (Hillside, NJ)
• Serve as a community volunteer for 4-6 hours per month.

Skills and Interests
• Computer: Proficient in Microsoft Office (including Word, Excel, Outlook, and PowerPoint). 
• Interests: Running and traveling.",llm_prompts,This task is part of a larger study on the design of Human Resources (HR) recruiting practices to pre-screen job applicants.,"html_tags,layout_placeholder"
Mezzapelle1439,Black Cisgender Woman,"Human Resources Sexual Harassment Incident Report 
Claimant Name: Michelle [Redacted]
Department: Sales
Date Hired: 06/12/2017

In accordance with the Equal Employment Opportunity Commission guidelines for reporting sexual harassment and other acts of workplace incivility, please provide the following demographic information about yourself.

Ethnicity (please select one):
Hispanic/Latino/Latina 
Non-Hispanic/Latino/Latina (selected)

Race (please select all that apply):
African American/Black Asian/Asian American (selected)
Middle Eastern
Native American
Pacific Islander
White
Other; please specify:

Gender (please select one):
Cisgender man
Cisgender woman (selected)
Transgender man
Transgender woman
Nonbinary

Age: 31
Accused Party Name(s): John [Redacted]
Claimant's Statement:
I am making a report today about John [Redacted] who has been repeatedly making me feel uncomfortable lately. I don't know John that well, but sometimes if we're in the same area at work we'll talk about what we're working on or how our days are going, just normal things that you might talk to a coworker about. However, recently John's behavior towards me has made me very uncomfortable whenever he and I have interacted. For example, he has been [Redacted]
This is inappropriate, especially for the workplace, and I feel like it has been negatively affecting my work. I think [Redacted]",llm_prompts,"We are interested in how people who have work experience think about claims of workplace sexual harassment. We’ll ask you to read a sexual harassment incident report filed by an employee; the report you’ll read may be partially redacted. We’ll then ask you a few questions about what you read. Please read all materials carefully!
 
 There will be a slight delay of the “Continue” button on the next screen. We appreciate you carefully reading the incident report.",
Mezzapelle1439,Black Transgender Woman,"Human Resources Sexual Harassment Incident Report 
Claimant Name: Michelle [Redacted]
Department: Sales
Date Hired: 06/12/2017

In accordance with the Equal Employment Opportunity Commission guidelines for reporting sexual harassment and other acts of workplace incivility, please provide the following demographic information about yourself.

Ethnicity (please select one):
Hispanic/Latino/Latina 
Non-Hispanic/Latino/Latina (selected)

Race (please select all that apply):
African American/Black Asian/Asian American (selected)
Middle Eastern
Native American
Pacific Islander
White
Other; please specify:

Gender (please select one):
Cisgender man
Cisgender woman
Transgender man
Transgender woman (selected)
Nonbinary

Age: 31
Accused Party Name(s): John [Redacted]
Claimant's Statement:
I am making a report today about John [Redacted] who has been repeatedly making me feel uncomfortable lately. I don't know John that well, but sometimes if we're in the same area at work we'll talk about what we're working on or how our days are going, just normal things that you might talk to a coworker about. However, recently John's behavior towards me has made me very uncomfortable whenever he and I have interacted. For example, he has been [Redacted]
This is inappropriate, especially for the workplace, and I feel like it has been negatively affecting my work. I think [Redacted]",llm_prompts,"We are interested in how people who have work experience think about claims of workplace sexual harassment. We’ll ask you to read a sexual harassment incident report filed by an employee; the report you’ll read may be partially redacted. We’ll then ask you a few questions about what you read. Please read all materials carefully!
 
 There will be a slight delay of the “Continue” button on the next screen. We appreciate you carefully reading the incident report.",
Mezzapelle1439,White Cisgender Woman,"Human Resources Sexual Harassment Incident Report 
Claimant Name: Michelle [Redacted]
Department: Sales
Date Hired: 06/12/2017

In accordance with the Equal Employment Opportunity Commission guidelines for reporting sexual harassment and other acts of workplace incivility, please provide the following demographic information about yourself.

Ethnicity (please select one):
Hispanic/Latino/Latina 
Non-Hispanic/Latino/Latina (selected)

Race (please select all that apply):
African American/Black Asian/Asian American
Middle Eastern
Native American
Pacific Islander
White (selected)
Other; please specify:

Gender (please select one):
Cisgender man
Cisgender woman (selected)
Transgender man
Transgender woman
Nonbinary

Age: 31
Accused Party Name(s): John [Redacted]
Claimant's Statement:
I am making a report today about John [Redacted] who has been repeatedly making me feel uncomfortable lately. I don't know John that well, but sometimes if we're in the same area at work we'll talk about what we're working on or how our days are going, just normal things that you might talk to a coworker about. However, recently John's behavior towards me has made me very uncomfortable whenever he and I have interacted. For example, he has been [Redacted]
This is inappropriate, especially for the workplace, and I feel like it has been negatively affecting my work. I think [Redacted]",llm_prompts,"We are interested in how people who have work experience think about claims of workplace sexual harassment. We’ll ask you to read a sexual harassment incident report filed by an employee; the report you’ll read may be partially redacted. We’ll then ask you a few questions about what you read. Please read all materials carefully!
 
 There will be a slight delay of the “Continue” button on the next screen. We appreciate you carefully reading the incident report.",
Mezzapelle1439,White Transgender Woman,"Human Resources Sexual Harassment Incident Report 
Claimant Name: Michelle [Redacted]
Department: Sales
Date Hired: 06/12/2017

In accordance with the Equal Employment Opportunity Commission guidelines for reporting sexual harassment and other acts of workplace incivility, please provide the following demographic information about yourself.

Ethnicity (please select one):
Hispanic/Latino/Latina 
Non-Hispanic/Latino/Latina (selected)

Race (please select all that apply):
African American/Black Asian/Asian American
Middle Eastern
Native American
Pacific Islander
White (selected)
Other; please specify:

Gender (please select one):
Cisgender man
Cisgender woman
Transgender man
Transgender woman (selected)
Nonbinary

Age: 31
Accused Party Name(s): John [Redacted]
Claimant's Statement:
I am making a report today about John [Redacted] who has been repeatedly making me feel uncomfortable lately. I don't know John that well, but sometimes if we're in the same area at work we'll talk about what we're working on or how our days are going, just normal things that you might talk to a coworker about. However, recently John's behavior towards me has made me very uncomfortable whenever he and I have interacted. For example, he has been [Redacted]
This is inappropriate, especially for the workplace, and I feel like it has been negatively affecting my work. I think [Redacted]",llm_prompts,"We are interested in how people who have work experience think about claims of workplace sexual harassment. We’ll ask you to read a sexual harassment incident report filed by an employee; the report you’ll read may be partially redacted. We’ll then ask you a few questions about what you read. Please read all materials carefully!
 
 There will be a slight delay of the “Continue” button on the next screen. We appreciate you carefully reading the incident report.",
ShannonS2,Control,"“The child tax credit provides an annual refund to working parents with low incomes and is an important tool to keep people out of poverty. Also, when these families spend these tax refunds it provides a boost to our economy. We must encourage every qualifying tax payer to file for child tax credits.”",llm_prompts,"Please take a moment to read the argument carefully and then tell us what you think.

How strongly do you agree or disagree with the following statement:",
ShannonS2,Illegal,"“The child tax credit provides an annual refund to working parents with low incomes and is an important tool to keep illegal immigrants out of poverty. Also, when these families spend these tax refunds it provides a boost to our economy. It is estimated that every $1,000 credited to working parents generates $1,380 in local economic activity. We must encourage every qualifying tax payer to file for child tax credits.”",llm_prompts,"Please take a moment to read the argument carefully and then tell us what you think.

How strongly do you agree or disagree with the following statement:",
ShannonS2,Illegal without savings,"“The child tax credit provides an annual refund to working parents with low incomes and is an important tool to keep illegal immigrants out of poverty. Also, when these families spend these tax refunds it provides a boost to our economy. We must encourage every qualifying tax payer to file for child tax credits.”",llm_prompts,"Please take a moment to read the argument carefully and then tell us what you think.

How strongly do you agree or disagree with the following statement:",
ShannonS2,Immigrant,"“The child tax credit provides an annual refund to working parents with low incomes and is an important tool to keep immigrants out of poverty. Also, when these families spend these tax refunds it provides a boost to our economy. It is estimated that every $1,000 credited to working parents generates $1,380 in local economic activity. We must encourage every qualifying tax payer to file for child tax credits.”",llm_prompts,"Please take a moment to read the argument carefully and then tell us what you think.

How strongly do you agree or disagree with the following statement:",
ShannonS2,Immigrant without savings,"“The child tax credit provides an annual refund to working parents with low incomes and is an important tool to keep immigrants out of poverty. Also, when these families spend these tax refunds it provides a boost to our economy. We must encourage every qualifying tax payer to file for child tax credits.”",llm_prompts,"Please take a moment to read the argument carefully and then tell us what you think.

How strongly do you agree or disagree with the following statement:",
ShannonS2,Treatment,"“The child tax credit provides an annual refund to working parents with low incomes and is an important tool to keep people out of poverty. Also, when these families spend these tax refunds it provides a boost to our economy. It is estimated that every $1,000 credited to working parents generates $1,380 in local economic activity. We must encourage every qualifying tax payer to file for child tax credits.”",llm_prompts,"Please take a moment to read the argument carefully and then tell us what you think.

How strongly do you agree or disagree with the following statement:",
Silverman1035,Control group: No Corrective Information,"The next screens contain some important information for this survey. We appreciate your careful attention to the details in the passage on the next screens. There will be a slight delay in moving past the next screens.  Additionally, you will not be able to go back to the previous screen, so please read the entire passage carefully. Thank you.

<u>New Poll Finds Rising Fears of Terrorism Nationwide</u>

The number of people who say that acts of terrorism against Americans are imminent is up 3% from last year, according to a new poll released this week. In the wake of attacks in San Bernardino, Orlando, Paris, and London, the Pew Research Center found that 63% of Americans think major terrorist attacks are likely to occur soon on American soil. Government officials have echoed these concerns. “We are issuing a new advisory that the terror threat is now elevated across the country,” said Undersecretary for Homeland Security Stephen Krause. “We have to remain vigilant and we have to stay alert. Terrorists can strike anytime, anywhere.”",llm_prompts,,html_tags
Silverman1035,"Treatment 1: Corrective Information, No Elite Endorsement","<u>New Poll Finds Rising Fears of Terrorism Nationwide</u>

The number of people who say that acts of terrorism against Americans are imminent is up 3% from last year, according to a new poll released this week. In the wake of attacks in San Bernardino, Orlando, Paris, and London, the Pew Research Center found that 63% of Americans think major terrorist attacks are likely to occur soon on American soil. Government officials have echoed these concerns. “We are issuing a new advisory that the terror threat is now elevated across the country,” said Undersecretary for Homeland Security Stephen Krause. “We have to remain vigilant and we have to stay alert. Terrorists can strike anytime, anywhere.”

Taking a Closer Look at the Terror Threat</u>
[SPACE]
Does terrorism really pose a critical threat to us? Below is a figure showing the average American’s risk of death from different sources. Please take a minute to study it closely.
[SPACE]
Threat        Period        Annual Deaths        Annual Risk
Cancer        2009        560,000        1 in 540
Traffic Accidents        2008        34,017        1 in 8,000
Homicide        2006        14,180        1 in 22,000
Natural Disasters        1999-2008        629        1 in 480,000
Home Appliances        Yearly Average        200        1 in 1,500,000
Commercial Aviation        1989-2007        103        1 in 2,900,000
Terrorism        1970-2007        87        1 in 3,500,000
Lightning        2008        42        1 in 7,000,000
Source: Mueller and Stewart 2015
[SPACE]
As can be seen, around 90 Americans are killed each year by terrorism on U.S. soil. This means the risk of being a victim of terrorism in a given year is about 1 in 3.5 million. In comparison, the risk of being killed by cancer is 1 in 540, the risk of being killed in a car accident is 1 in 8,000, and the chance of being killed by your own home appliances is 1 in 1.5 million. These numbers provide some essential context when thinking about the different threats to our public safety.",llm_prompts,,"html_tags,layout_placeholder"
Silverman1035,"Treatment 2: Corrective Information, Democratic Endorsement","The number of people who say that acts of terrorism against Americans are imminent is up 3% from last year, according to a new poll released this week. In the wake of attacks in San Bernardino, Orlando, Paris, and London, the Pew Research Center found that 63% of Americans think major terrorist attacks are likely to occur soon on American soil. Government officials have echoed these concerns. “We are issuing a new advisory that the terror threat is now elevated across the country,” said Undersecretary for Homeland Security Stephen Krause. “We have to remain vigilant and we have to stay alert. Terrorists can strike anytime, anywhere.”

Taking a Closer Look at the Terror Threat</u>
[SPACE]
Does terrorism really pose a critical threat to us? Below is a figure showing the average American’s risk of death from different sources. Please take a minute to study it closely.
[SPACE]
Threat	Period	Annual Deaths	Annual Risk
Cancer	2009	560,000	1 in 540
Traffic Accidents	2008	34,017	1 in 8,000
Homicide	2006	14,180	1 in 22,000
Natural Disasters	1999-2008	629	1 in 480,000
Home Appliances	Yearly Average	200	1 in 1,500,000
Commercial Aviation	1989-2007	103	1 in 2,900,000
Terrorism	1970-2007	87	1 in 3,500,000
Lightning	2008	42	1 in 7,000,000
Source: Mueller and Stewart 2015
[SPACE]
As can be seen, around 90 Americans are killed each year by terrorism on U.S. soil. This means the risk of being a victim of terrorism in a given year is about 1 in 3.5 million. In comparison, the risk of being killed by cancer is 1 in 540, the risk of being killed in a car accident is 1 in 8,000, and the chance of being killed by your own home appliances is 1 in 1.5 million. These numbers provide some essential context when thinking about the different threats to our public safety.
[SPACE]
Indeed, these facts have been noted by officials. For example, Democratic Congressman John Baker stated recently: “The truth is that you are far more likely to be killed by routine, mundane dangers than you are by a terrorist attack. We as Americans need to take a closer look at the risks and choices we face.”",llm_prompts,,"html_tags,layout_placeholder"
Silverman1035,"Treatment 3: Corrective Information, Republican Endorsement","New Poll Finds Rising Fears of Terrorism Nationwide</u>
[SPACE]
The number of people who say that acts of terrorism against Americans are imminent is up 3% from last year, according to a new poll released this week. In the wake of attacks in San Bernardino, Orlando, Paris, and London, the Pew Research Center found that 63% of Americans think major terrorist attacks are likely to occur soon on American soil. Government officials have echoed these concerns. “We are issuing a new advisory that the terror threat is now elevated across the country,” said Undersecretary for Homeland Security Stephen Krause. “We have to remain vigilant and we have to stay alert. Terrorists can strike anytime, anywhere.”


Taking a Closer Look at the Terror Threat</u>
[SPACE]
Does terrorism really pose a critical threat to us? Below is a figure showing the average American’s risk of death from different sources. Please take a minute to study it closely.
[SPACE]
Threat	Period	Annual Deaths	Annual Risk
Cancer	2009	560,000	1 in 540
Traffic Accidents	2008	34,017	1 in 8,000
Homicide	2006	14,180	1 in 22,000
Natural Disasters	1999-2008	629	1 in 480,000
Home Appliances	Yearly Average	200	1 in 1,500,000
Commercial Aviation	1989-2007	103	1 in 2,900,000
Terrorism	1970-2007	87	1 in 3,500,000
Lightning	2008	42	1 in 7,000,000
Source: Mueller and Stewart 2015
[SPACE]
As can be seen, around 90 Americans are killed each year by terrorism on U.S. soil. This means the risk of being a victim of terrorism in a given year is about 1 in 3.5 million. In comparison, the risk of being killed by cancer is 1 in 540, the risk of being killed in a car accident is 1 in 8,000, and the chance of being killed by your own home appliances is 1 in 1.5 million. These numbers provide some essential context when thinking about the different threats to our public safety.
[SPACE]
Indeed, these facts have been noted by officials. For example, Republican Congressman John Baker stated recently: “The truth is that you are far more likely to be killed by routine, mundane dangers than you are by a terrorist attack. We as Americans need to take a closer look at the risks and choices we face.”",llm_prompts,,"html_tags,layout_placeholder"
Silverman1035,"Treatment 4: Corrective Information, Military Endorsement","New Poll Finds Rising Fears of Terrorism Nationwide</u>
[SPACE]
The number of people who say that acts of terrorism against Americans are imminent is up 3% from last year, according to a new poll released this week. In the wake of attacks in San Bernardino, Orlando, Paris, and London, the Pew Research Center found that 63% of Americans think major terrorist attacks are likely to occur soon on American soil. Government officials have echoed these concerns. “We are issuing a new advisory that the terror threat is now elevated across the country,” said Undersecretary for Homeland Security Stephen Krause. “We have to remain vigilant and we have to stay alert. Terrorists can strike anytime, anywhere.”

Taking a Closer Look at the Terror Threat</u>
[SPACE]
Does terrorism really pose a critical threat to us? Below is a figure showing the average American’s risk of death from different sources. Please take a minute to study it closely.
[SPACE]
Threat	Period	Annual Deaths	Annual Risk
Cancer	2009	560,000	1 in 540
Traffic Accidents	2008	34,017	1 in 8,000
Homicide	2006	14,180	1 in 22,000
Natural Disasters	1999-2008	629	1 in 480,000
Home Appliances	Yearly Average	200	1 in 1,500,000
Commercial Aviation	1989-2007	103	1 in 2,900,000
Terrorism	1970-2007	87	1 in 3,500,000
Lightning	2008	42	1 in 7,000,000
Source: Mueller and Stewart 2015
[SPACE]
As can be seen, around 90 Americans are killed each year by terrorism on U.S. soil. This means the risk of being a victim of terrorism in a given year is about 1 in 3.5 million. In comparison, the risk of being killed by cancer is 1 in 540, the risk of being killed in a car accident is 1 in 8,000, and the chance of being killed by your own home appliances is 1 in 1.5 million. These numbers provide some essential context when thinking about the different threats to our public safety.
[SPACE]
Indeed, these facts have been noted by officials. For example, four-star Army General John Baker stated recently: “The truth is that you are far more likely to be killed by routine, mundane dangers than you are by a terrorist attack. We as Americans need to take a closer look at the risks and choices we face.”",llm_prompts,,"html_tags,layout_placeholder"
Terman1029,International Rights Group Codemns Abuse in US,"Rights Group Condemns Abuses in United States
 
July 1, 2018
 
Human Rights Action Committee (HRAC), an international advocacy organization based in Geneva, Switzerland, accused the United States today of repeated violations of human rights throughout the criminal justice system. 
 
A HRAC spokesperson said: “The United States' criminal justice system is plagued with injustices, including discrimination, excessively harsh sentencing, and inhumane prison conditions.”
 
The group said it would publish a report about the violations, and launch an international campaign urging states and other members of the international community to denounce these abuses.",llm_prompts,"On the next screen, you are going to see part of a news article. Please read it carefully before continuing.",
Terman1029,International Rights Group Condemns Abuses in the US- “reintegrative”,"Rights Group Condemns Abuses in United States
 
July 1, 2018
 
Human Rights Action Committee (HRAC), an international advocacy organization based in Geneva, Switzerland, accused the United States today of repeated violations of human rights throughout the criminal justice system.
 
A HRAC spokesperson said: “The United States' criminal justice system is plagued with injustices, including discrimination, excessively harsh sentencing, and inhumane prison conditions.”
 
HRAC went on to praise the United States for its overall human rights record. “The United States is one of the strongest defenders of human rights in the world.”
 
The spokesman continued: “We recognize that abuse in the criminal justice system is a general problem faced by a number of other countries.
 
“We recommend the United States consider taking action on this issue. The international community should work closely with the United States and other countries of concern to protect human rights in the criminal justice system.”",llm_prompts,"On the next screen, you are going to see part of a news article. Please read it carefully before continuing.",
Terman1029,International Rights Group Condemns Abuses in the US- “stigmatic”,"Rights Group Condemns Abuses in United States
 
July 1, 2018
 
Human Rights Action Committee (HRAC), an international advocacy organization based in Geneva, Switzerland, accused the United States today of repeated violations of human rights throughout the criminal justice system. 
 
A HRAC spokesperson said: ""The United States' criminal justice system is plagued with injustices, including discrimination, excessively harsh sentencing, and inhumane prison conditions.""
 
HRAC went on to condemn the United States for its overall human rights record. “The United States is one of the weakest defenders of human rights in the world.”
 
The spokesman continued: “We recognize that abuses in the criminal justice system is a particularly serious problem in the United States.
 
“We demand that the United States take immediate action on this issue. The international community should put pressure on the United States to protect human rights in the criminal justice system.”",llm_prompts,"On the next screen, you are going to see part of a news article. Please read it carefully before continuing.",
Terman1029,New York Rights Group Condemns Abuses in the United States,"Rights Group Condemns Abuses in United States
 
July 1, 2018
 
Human Rights Action Committee (HRAC), an American advocacy organization based in New York, accused the United States today of repeated violations of human rights throughout the criminal justice system.
 
A HRAC spokesperson said: “The United States' criminal justice system is plagued with injustices, including discrimination, excessively harsh sentencing, and inhumane prison conditions.”
 
The group said it would publish a report about the violations, and launch a national campaign urging other groups to denounce these abuses.",llm_prompts,"On the next screen, you are going to see part of a news article. Please read it carefully before continuing.",
Terman1029,Rights Group Condemns Abuses Worldwide,"Rights Group Condemns Abuses Worldwide
 
July 1, 2018
 
Human Rights Action Committee (HRAC), an international advocacy organization based in Geneva, Switzerland, accused multiple governments today of repeated violations of human rights throughout their criminal justice system.
 
A HRAC spokesperson said: “In many countries, the criminal justice system is plagued with injustices, including discrimination, excessively harsh sentencing, and inhumane prison conditions.”
 
The group said it would publish a report about the violations, and launch an international campaign urging states and other members of the international community to denounce these abuses.",llm_prompts,"On the next screen, you are going to see part of a news article. Please read it carefully before continuing.",
Williamson859,COND1,"Almost half of U.S. households pay no federal individual income taxes or receive a refund larger than the amount they paid in. 


Source: “Average Individual Income Tax Rates,” Tax Policy Center, 2015.
The chart shows the average federal income tax rate for people at different income levels. For instance, the poorest Americans, those making about $15,000 a year, paid an average income tax rate of -7%, meaning that they received a larger tax refund from the federal government than they paid in.",llm_prompts,,chart_or_image_reference
Williamson859,COND2,"Almost all U.S. households pay taxes. 
 
Source: “Who Pays Taxes in America,” The Institute on Taxation and Economic Policy, 2015.
The chart shows the average tax rate, including all kinds of federal, state and local taxes, for people at different income levels. For instance, the poorest Americans, those making about $15,000 a year, paid an average tax rate of 19%, meaning they paid an average of $2,850 in taxes to the local, state and federal government.",llm_prompts,,chart_or_image_reference
Williamson859,CONTROL,"Internet usage has increased over time. 
 
Source: “Americans’ Internet Access,” Pew Research Center, 2015.
The chart shows the rates of Internet usage in the United States over time. For instance, in 2007, 74% of American adults reported using the Internet.",llm_prompts,,chart_or_image_reference
berganS20,1 [Republican with instruction],"March 14, 2011, 2:54 pm
Republicans Propose Panel to Limit Government Spending on Health Care
        By BRIAN STELTER 
                
        In an effort to limit federal spending on health care, Republicans propose to create an independent commission with the power to ensure that Medicare only pays for procedures with demonstrated medical value. The commission, called the Independent Payment Advisory Board (IPAB), would consist of 15 appointed members. Democrats oppose the proposed commission, saying that cuts to Medicare would limit patients’ access to procedures that they and their physician select. 
                Supporters of the plan cite recent reports showing U.S. healthcare costs increased to 16.9 percent of GDP in 2008 and are expected to increase at a rate two times higher than the current rate of inflation. “Anyone who is worried about the federal budget should focus on healthcare costs,” said Bill Strauss, a Republican Representative who supports the plan. “Establishing an independent commission to contain Medicare’s growth to more reasonable rates will significantly lower the amount that the federal government spends on healthcare.” 
                Opponents, however, cite concerns over turning decisions about what constitutes quality care over to a governmental commission. “This plan is giving the government too much power to make decisions that should be left to the individual,” said Representative Andrew Lawrence, a Democratic a vocal opponent of the plan. “We should be putting American consumers back in charge of their choices about healthcare coverage and care, not giving government bureaucrats more power over these decisions.”
         Further debate about the creation of the commission is expected to continue in the coming weeks.

We are going to ask a series of questions about your attitudes. Please answer the following questions about your attitudes about politics by selecting the appropriate option. Please try not to let irrelevant factors influence your responses or bias your judgments.",llm_prompts,The following story was cut and pasted from The New York Times’ online edition.,
berganS20,2 [Democrat with instruction],"March 14, 2011, 2:54 pm
Democrats Propose Panel to Limit Government Spending on Health Care
        By BRIAN STELTER 
                
        In an effort to limit federal spending on health care, Democrats  propose to create an independent commission with the power to ensure that Medicare only pays for procedures with demonstrated medical value. The commission, called the Independent Payment Advisory Board (IPAB), would consist of 15 appointed members. Republicans oppose the proposed commission, saying that cuts to Medicare would limit patients’ access to procedures that they and their physician select. 
                Supporters of the plan cite recent reports showing U.S. healthcare costs increased to 16.9 percent of GDP in 2008 and are expected to increase at a rate two times higher than the current rate of inflation. “Anyone who is worried about the federal budget should focus on healthcare costs,” said Bill Strauss, a Democratic Representative who supports the plan. “Establishing an independent commission to contain Medicare’s growth to more reasonable rates will significantly lower the amount that the federal government spends on healthcare.” 
                Opponents, however, cite concerns over turning decisions about what constitutes quality care over to a governmental commission. “This plan is giving the government too much power to make decisions that should be left to the individual,” said Representative Andrew Lawrence, a Republican and a vocal opponent of the plan. “We should be putting American consumers back in charge of their choices about healthcare coverage and care, not giving government bureaucrats more power over these decisions.”
         Further debate about the creation of the commission is expected to continue in the coming weeks.

We are going to ask a series of questions about your attitudes. Please answer the following questions about your attitudes about politics by selecting the appropriate option. Please try not to let irrelevant factors influence your responses or bias your judgments.",llm_prompts,The following story was cut and pasted from The New York Times’ online edition.,
brandtS1,1 [1],"Some people have a large monthly mortgage payment because they wanted to purchase a larger house than they needed. Now they are facing foreclosure because they do not want to continue paying the mortgage, even though they are able to afford the payments.",llm_prompts,"Recently the growing number of home foreclosures has put a strain on the financial system, which has weakened the United States economy. Foreclosure occurs when a person is behind on home mortgage payments to their bank and the bank decides to repossess (i.e., take back) the home. People may go into foreclosure for a variety of reasons.

We are interested in your perceptions towards people who are facing foreclosure. In the following section you will be presented with a situation that describes some people facing foreclosure. Please carefully read the situation and answer the following questions about your reactions to the situation.",
